OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"1993-036BCQ","COSMOS 2251 DEB","36530","CIS","98.45","74.02","706","663","SMALL","0","1993-06-16",""
"1993-036BCP","COSMOS 2251 DEB","36529","CIS","102.11","74.06","986","731","SMALL","0","1993-06-16",""
"1993-036BCN","COSMOS 2251 DEB","36528","CIS","101.30","74.02","888","752","SMALL","0","1993-06-16",""
"1993-036BCL","COSMOS 2251 DEB","36526","CIS","98.21","73.97","759","587","SMALL","0","1993-06-16",""
"2010-017B","SL-8 R/B","36520","CIS","104.90","82.96","1017","963","LARGE","0","2010-04-27",""
"2010-017A","COSMOS 2463","36519","CIS","105.00","82.96","1022","967","LARGE","0","2010-04-27",""
"2010-016C","BREEZE-M DEB (TANK)","36518","CIS","529.99","46.22","30335","297","LARGE","0","2010-04-24",""
"2010-016B","BREEZE M R/B","36517","CIS","1195.52","4.94","33504","28366","MEDIUM","0","2010-04-24",""
"2010-016A","SES 1","36516","SES","1436.09","0.02","35794","35779","LARGE","0","2010-04-24",""
"2010-015B","ATLAS 5 CENTAUR R/B","36515","US","","","","","","0","2010-04-22","NO ELEMENTS AVAILABLE"
"2010-015A","OTV 1 (USA 212)","36514","US","","","","","","0","2010-04-22","NO ELEMENTS AVAILABLE"
"2010-013C","SL-24 DEB","36510","CIS","98.45","92.03","703","665","LARGE","0","2010-04-08",""
"2010-013B","SL-24 R/B","36509","CIS","103.35","91.91","1117","717","LARGE","0","2010-04-08",""
"2010-013A","CRYOSAT 2","36508","ESA","99.16","92.03","725","712","LARGE","0","2010-04-08",""
"2010-010C","BREEZE-M DEB (TANK)","36501","CIS","249.20","49.64","13178","301","LARGE","0","2010-03-20",""
"2010-010B","BREEZE-M R/B","36500","CIS","641.77","26.31","33931","2605","LARGE","0","2010-03-20",""
